,street,city,state,zip,livingArea,latitude,longitude,status,detailUrl,county,buildingStyle,description,yearBuilt,lotSizeSquareFeet,rental,totalBuildingAreaSquareFeet
0,717 Caribbean Dr,Forest Park,GA,30297,5906,33.585945,-84.36705,FOR_SALE,https://www.zillow.com/homedetails/717-Caribbean-Dr-Forest-Park-GA-30297/250293305_zpid/,Clayton County,SINGLE_FAMILY,"BUYER INCENTIVES     SELLER IS GIVING $10K IN CLOSING COSTS   PRE-FERERRED LENDER is GIVING $2,500 IN CLOSING COSTS & FREE APPRAISAL       Welcome to 717 Caribbean Drive, a new construction home located in Forest Park, Georgia, just 12 minutes from Hartsfield-Jackson Airport and 11 minutes from the Porsche Experience Center. This home offers the perfect blend of convenience and luxury.    This stunning 5-bedroom, 5.5-bathroom modern home features traditional craftsmanship with elegant brickwork on the exterior. Inside, enjoy hardwood floors throughout the main level and stainless steel kitchen appliances.     The main level boasts an open floor concept, ideal for entertaining and daily living. Extend your living space outdoors with the wrap-around porch.    The lower level includes an additional primary suite with direct access to the backyard, an extra bedroom, entertainment space, and a secondary kitchen bar, providing ample room for guests and gatherings.    Experience the perfect blend of modern amenities and traditional design at 717 Caribbean Drive.",2024,0.37 Acres,False,"5,906"
1,13663 Inman Rd,Hampton,GA,30228,2367,33.384674,-84.38974,FOR_SALE,https://www.zillow.com/homedetails/13663-Inman-Rd-Hampton-GA-30228/250287657_zpid/,Clayton County,SINGLE_FAMILY,"Don't miss out on this rare opportunity to own a piece of serenity with all the modern conveniences included!     Welcome to this charming 3-bedroom, 3-full bathroom home nestled in a peaceful rural cul-de-sac.    The downstairs level welcomes you with a sizeable flex room that can be utilized as an additional guest space, study, office, or for entertainment. It also features double doors for added privacy and versatility.     The open concept design seamlessly connects the kitchen to the living room area, creating a perfect space for gatherings. You will also have a full bathroom on the downstairs level for guests and convenience.     Upstairs, you'll find the primary ensuite with his and hers closets, a double sink vanity, two secondary bedrooms, a hallway bathroom, and a convenient laundry room.     Buyers will be pleased that the purchase includes a modern GE washer and dryer set, a full set of stainless-steel kitchen appliances, a whole house water filtration system with water softener for added convenience.     Newly built just 2 years ago in March, this home presents a modern and fresh living space ready for your special touches.     Don’t let this opportunity pass. Schedule a showing today!  Sold As-Is and Move-in ready!",2022,1.51 Acres,False,"2,367"
2,310 Marsh Glen Dr,Jonesboro,GA,30238,1400,33.498123,-84.400986,FOR_SALE,https://www.zillow.com/homedetails/310-Marsh-Glen-Dr-Jonesboro-GA-30238/54715315_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to your dream home, where convenience meets luxury in this custom-built, stepless ranch. This modern 3-bedroom, 2-bathroom home boasts 10-foot ceilings, creating an open and airy ambiance.  The gourmet kitchen is a chef's delight, featuring: Stainless steel appliances, A large island perfect for family gatherings, Stylish tile backsplash, Luxurious granite countertops.  The kitchen seamlessly flows into the spacious living room, making it ideal for entertaining. Enjoy the beauty and durability of luxury vinyl plank flooring throughout the home.  Retreat to the spacious owner's suite, complete with a walk-in shower and separate tub, providing a perfect sanctuary for relaxation.  This exceptional builder provides peace of mind with a Home Buyer's Warranty, ensuring quality and reliability.  Take advantage of 100% financing and up to $25,000 down payment assistance to qualified buyers. Discover what sets this home apart—schedule a visit today!",2024,566.28 sqft,False,"1,400"
3,9180 Woodgreen Way,Jonesboro,GA,30238,2062,33.505135,-84.409935,FOR_SALE,https://www.zillow.com/homedetails/9180-Woodgreen-Way-Jonesboro-GA-30238/35800894_zpid/,Clayton County,SINGLE_FAMILY,"Gorgeous farmhouse-style new construction home in an established, quiet neighborhood in Jonesboro. Freshly sodded level front yard and ample parking. The spacious, covered front porch leads to a welcoming two-story foyer. You'll find hardwood floors on the main level, upgraded lighting, and ceiling fans throughout. Just off the foyer, you'll find a great flex space; use it as a formal dining room, playroom, or home office. The family room is anchored by a gas fireplace with shiplap accents. The kitchen offers plenty of room to prep meals and entertain guests, featuring ample white cabinets, stone counters, tile backsplash, stainless steel appliances, and a great center island. A laundry room and powder room round out the main level. Upstairs, you'll find four spacious bedrooms. The primary suite features a relaxing soaking tub with a large picture window and a step-in tile shower with a convenient toiletry nook. The covered back patio provides a great spot to relax while overlooking the fenced backyard. The home is centrally located, within easy reach of downtown Jonesboro, Fayetteville, Riverdale, Morrow, and Hampton. Only 20 minutes to the airport and close to nature trails, as well as local dining, shopping, and entertainment options, such as the Spivey Splash Water Park and Fun Spot America.",2024,0.36 Acres,False,"2,062"
4,4379 Highway 42 #21,Ellenwood,GA,30294,822,33.634396,-84.31949,FOR_SALE,https://www.zillow.com/homedetails/4379-Highway-42-21-Ellenwood-GA-30294/2055488602_zpid/,Clayton County,MANUFACTURED,"Your Next Home Awaits in Ellenwood, Georgia!  Experience modern living in this Brand New manufactured home in Ellenwood, a community offering tranquility with city conveniences. This 2 bedroom, 2 bathroom home offers 822 Sqft of thoughtfully designed space, ready for you to move in and make it your own.  Discover the Perks of Living Here:  Located near Panola Mountain State Park, perfect for outdoor enthusiasts and family outings.  Walking distance to Gillem Logistics Center! You can walk or bike to work.  A short drive to Southlake Mall, providing plenty of shopping and dining options.  Quick access to I-675 and I-285, making Atlanta and surrounding areas easily accessible.   What You'll Love:  Stylish, modern finishes throughout  Open-concept layout ideal for family living  No more shared walls. No more elevators. Park in your own driveway!  Located in a desirable area with nearby amenities   Act now! Contact us for a tour or more details about owning this beautiful home for less than renting an apartment. It won't be available for long!",2023,,False,822
5,11967 Brightside Pkwy,Hampton,GA,30228,2150,33.437164,-84.31911,FOR_SALE,https://www.zillow.com/homedetails/11967-Brightside-Pkwy-Hampton-GA-30228/339033011_zpid/,Clayton County,SINGLE_FAMILY,"SHORT SALE. APPRAISED VALUE HIGHER THAN LIST PRICE. Welcome Home to the open floor plan home that features a Two Story foyer with picture molding trim that welcomes you into an inviting and spacious family room. The Gourmet Kitchen is well appointed with an oversized island, granite countertops, pantry and tons of cabinetry. Luxury Wood Flooring on the Main Level! The Master Bedroom is also oversized, and has a walk in closet, trey ceilings, dual vanities, separate garden tub and shower. Towne Center is a GATED COMMUNITY! Located in a sought-after area with convenient access to Interstate 75, lots of restaurants, Fayette Pavilion, Henry Towne Center, The Atlanta Motor Speedway and more!",2022,"4,673 sqft",False,"2,150"
6,8194 Tiger Way,Riverdale,GA,30274,1849,33.532722,-84.420944,FOR_SALE,https://www.zillow.com/homedetails/8194-Tiger-Way-Riverdale-GA-30274/441579892_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE-IN-READY! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
7,2275 Lovejoy Rd LOT 72,Hampton,GA,30228,2161,33.43862,-84.317924,FOR_SALE,https://www.zillow.com/homedetails/2275-Lovejoy-Rd-LOT-72-Hampton-GA-30228/443135535_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes Presents! The Ferndale- 4 Bedroom 2.5 bath home, with 42-inch cabinets, granite counter tops, stainless steel appliances and tile back-splash. Main level has LVP flooring including all wet areas. Decorative brick fireplace in family room. Exterior has True Harding Plank, brick front with brick water table on all sides.",2024,"4,051 sqft",False,"2,161"
8,2402 Walker Dr,Hampton,GA,30228,2017,33.43745,-84.31842,FOR_SALE,https://www.zillow.com/homedetails/2402-Walker-Dr-Hampton-GA-30228/339033074_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to 2402 Walker Dr, a delightful residence in the heart of Hampton! This inviting home features 4 bedrooms and 3 bathrooms, making it perfect for families or those seeking a peaceful retreat.As you enter, you’ll be greeted by a warm and spacious living area that flows seamlessly into the dining space, ideal for entertaining friends and family. The well-appointed kitchen boasts modern appliances, ample cabinetry, and a breakfast bar, perfect for casual meals.The primary suite offers a tranquil escape, complete with an en-suite bathroom for added privacy. Three additional bedrooms provide flexibility for guests, a home office, or playrooms. Step outside to your lovely backyard, where you can enjoy outdoor activities or relax on the patio. The lush greenery offers a serene backdrop for your gatherings. Conveniently located near shopping, dining, and parks, this home combines comfort with accessibility. Don’t miss your chance to make this your new home sweet home! Schedule a showing today!",2022,"3,611 sqft",False,"2,017"
9,8642 Lakeview Cmns LOT 36,Jonesboro,GA,30238,1510,33.51902,-84.425026,FOR_SALE,https://www.zillow.com/homedetails/8642-Lakeview-Cmns-LOT-36-Jonesboro-GA-30238/444733710_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $10,000 in down payment assistance, up to $3,000 in closing cost contributions, a minimal $500 earnest money deposit, and a swift 30-day move-in-these homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2023,"1,742 sqft",False,"1,510"
